feature,overall_q1,overall_q3,overall_iqr,min_season_median,max_season_median,season_median_range,shift_score
asof_batter_middle_rate,0.130319,0.1517,0.02138100000000001,0.124027,0.151719,0.027691999999999994,1.2951686076422984
asof_batter_success_rate,0.515479,0.555119,0.03964000000000001,0.516179,0.558768,0.04258899999999999,1.074394550958627
asof_batter_n,788.0,5007.0,4219.0,584.0,4498.0,3914.0,0.9277079876748044
asof_pitcher_middle_rate,0.125644,0.157025,0.03138099999999999,0.125,0.153455,0.028455000000000008,0.9067588668302481
asof_pitcher_n,684.0,3725.0,3041.0,571.0,3073.0,2502.0,0.8227556724761591
asof_pitcher_pitchmix_n,684.0,3725.0,3041.0,571.0,3073.0,2502.0,0.8227556724761591
asof_pitcher_prev5_game_middle_rate,0.117137,0.178571,0.061434,0.125245,0.174312,0.049067,0.7986945339714164
asof_pitcher_reverse_rate,0.17893974999999998,0.251064,0.07212425000000003,0.18089349999999998,0.235294,0.05440050000000002,0.7542608761962862
asof_pitcher_prev5_game_success_rate,0.472973,0.572082,0.099109,0.49187,0.558767,0.06689700000000004,0.674984108405897
asof_pitcher_prev3_game_middle_rate,0.111111,0.182836,0.071725,0.125,0.173077,0.04807700000000001,0.6702962704775185
asof_pitcher_success_rate,0.499073,0.569045,0.06997200000000003,0.510554,0.557377,0.04682300000000006,0.6691676670668273
game_month,5.0,8.0,3.0,6.0,8.0,2.0,0.6666666666666666
asof_pitcher_prev3_game_success_rate,0.465753,0.579926,0.11417300000000008,0.490196,0.56015,0.06995400000000002,0.6127017771276919
asof_pitcher_prev1_game_success_rate,0.443299,0.605263,0.161964,0.494949,0.56383,0.06888100000000008,0.42528586599491297
asof_pitcher_prev1_game_middle_rate,0.0909091,0.2,0.1090909,0.120482,0.166667,0.046185000000000004,0.4233625352802113
run_bot_before,0.0,4.0,4.0,1.0,2.0,1.0,0.25
asof_pitcher_ball_rate,0.348091,0.39216625,0.04407525000000001,0.364706,0.372853,0.008147000000000015,0.1848429674250291
asof_pitcher_breaking_rate,0.21585875,0.361801,0.14594225,0.2802925,0.299918,0.019625500000000018,0.13447442395879206
asof_pitcher_strike_rate,0.423077,0.462441,0.03936400000000001,0.440529,0.4453,0.00477099999999997,0.12120211360634002
asof_pitcher_fastball_rate,0.486486,0.613636,0.12714999999999999,0.5369200000000001,0.548377,0.01145699999999994,0.09010617381045963
li,0.4,1.32,0.92,0.77,0.84,0.06999999999999995,0.07608695652173908
home_win_expectancy,25.6,74.3,48.699999999999996,50.0,52.5,2.5,0.051334702258726904
away_win_expectancy,25.7,74.4,48.7,47.5,50.0,2.5,0.0513347022587269
asof_pitcher_offspeed_rate,0.075,0.217011,0.142011,0.138889,0.142662,0.0037729999999999986,0.026568364422474306
inning,3.0,7.0,4.0,5.0,5.0,0.0,0.0
num_runners_on,0.0,1.0,1.0,0.0,0.0,0.0,0.0
balls_before,0.0,2.0,2.0,1.0,1.0,0.0,0.0
runner_on_1b,0.0,1.0,1.0,0.0,0.0,0.0,0.0
outs_before,0.0,2.0,2.0,1.0,1.0,0.0,0.0
strikes_before,0.0,2.0,2.0,1.0,1.0,0.0,0.0
run_top_before,0.0,4.0,4.0,2.0,2.0,0.0,0.0
run_total_before,1.0,7.0,6.0,4.0,4.0,0.0,0.0
score_diff_home,-2.0,1.0,3.0,0.0,0.0,0.0,0.0
score_diff_pitcher_team,-2.0,2.0,4.0,0.0,0.0,0.0,0.0
runner_on_2b,0.0,0.0,0.0,0.0,0.0,0.0,
runner_on_3b,0.0,0.0,0.0,0.0,0.0,0.0,
