,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,missing_rate,nunique
season,1475092.0,2021.52886870785,1.7058270739350436,2019.0,2019.0,2019.0,2020.0,2022.0,2023.0,2024.0,2024.0,2024.0,0,0.0,6
game_month,1475092.0,6.668616601540785,1.9279073760292786,3.0,3.0,4.0,5.0,6.0,8.0,10.0,10.0,10.0,0,0.0,8
inning,1475092.0,4.965960767192826,2.6054035292352706,1.0,1.0,1.0,3.0,5.0,7.0,9.0,10.0,13.0,0,0.0,13
balls_before,1475092.0,0.8984680277569128,0.9697419127938905,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0,0.0,4
strikes_before,1475092.0,0.8718710426197146,0.8246052956836328,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0,0.0,3
outs_before,1475092.0,0.9814316666350302,0.8167271238641515,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0,0.0,3
run_top_before,1475092.0,2.557856052368259,2.914231887141823,0.0,0.0,0.0,0.0,2.0,4.0,8.0,12.0,30.0,0,0.0,30
run_bot_before,1475092.0,2.3570272227088207,2.766364796309842,0.0,0.0,0.0,0.0,1.0,4.0,8.0,12.0,26.0,0,0.0,25
run_total_before,1475092.0,4.91488327507708,4.500625260333647,0.0,0.0,0.0,1.0,4.0,7.0,14.0,19.0,37.0,0,0.0,38
score_diff_home,1475092.0,-0.20082882965943818,3.4692096539246817,-27.0,-10.0,-6.0,-2.0,0.0,1.0,6.0,9.0,20.0,0,0.0,47
score_diff_pitcher_team,1475092.0,0.060106759442800854,3.4744978117828995,-27.0,-9.0,-6.0,-2.0,0.0,2.0,6.0,10.0,27.0,0,0.0,52
runner_on_1b,1475092.0,0.35035238480040565,0.4770804393015311,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,2
runner_on_2b,1475092.0,0.21677834331689141,0.4120504924022233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,2
runner_on_3b,1475092.0,0.11162829165909652,0.3149086905575299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0.0,2
num_runners_on,1475092.0,0.6787590197763936,0.8336830685085532,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0,0.0,4
home_win_expectancy,1475092.0,50.26953457818225,30.2688357762917,0.0,0.1,1.3,25.6,52.2,74.3,98.7,99.9,100.0,0,0.0,977
away_win_expectancy,1475092.0,49.731873130625054,30.268591524348597,0.0,0.1,1.3,25.7,47.8,74.4,98.7,99.9,100.0,0,0.0,981
li,1475092.0,0.9818414580243128,0.8923983899038243,0.0,0.0,0.02,0.4,0.8,1.32,2.63,4.37,10.83,0,0.0,502
asof_pitcher_n,1475092.0,2661.3230401900355,2690.012573369744,0.0,18.0,103.0,684.0,1776.0,3725.0,8530.0,11870.0,15449.0,0,0.0,15450
asof_pitcher_success_rate,1474300.0,0.5352282202778269,0.061757326282138765,0.0,0.395062,0.44722795,0.499073,0.532022,0.569045,0.6320581500000001,0.7038250800000001,1.0,792,0.0005369156635653912,220896
asof_pitcher_reverse_rate,1474300.0,0.2152099238230009,0.06066783555840222,0.0,0.065068417,0.119048,0.17893974999999998,0.218025,0.251064,0.307958,0.3628571200000001,1.0,792,0.0005369156635653912,228112
asof_pitcher_middle_rate,1474300.0,0.1418648379080716,0.03176858411582209,0.0,0.0560748,0.0954774,0.125644,0.141903,0.157025,0.187036,0.221184,1.0,792,0.0005369156635653912,120993
asof_pitcher_ball_rate,1474300.0,0.37224288439137226,0.0418363286314057,0.0,0.283333,0.31937695,0.348091,0.369369,0.39216625,0.434211,0.48855,1.0,792,0.0005369156635653912,144809
asof_pitcher_strike_rate,1474300.0,0.44187568922315673,0.039616994392202114,0.0,0.333333,0.387387,0.423077,0.442289,0.462441,0.495146,0.521127,1.0,792,0.0005369156635653912,131532
asof_pitcher_prev1_game_success_rate,1445907.0,0.5233543069768666,0.1358859674664976,0.0,0.166667,0.304878,0.443299,0.52381,0.605263,0.75,0.869565,1.0,29185,0.019785206617621138,1924
asof_pitcher_prev3_game_success_rate,1445907.0,0.523847505939317,0.091722889502366,0.0,0.304348,0.377358,0.465753,0.521739,0.579926,0.679487,0.763158,1.0,29185,0.019785206617621138,6319
asof_pitcher_prev5_game_success_rate,1445907.0,0.5244111593601802,0.08078823140306284,0.0,0.337209,0.397727,0.472973,0.521739,0.572082,0.662162,0.742268,1.0,29185,0.019785206617621138,9314
asof_pitcher_prev1_game_middle_rate,1445907.0,0.15060582464190297,0.09241721065010161,0.0,0.0,0.0,0.0909091,0.141414,0.2,0.307692,0.428571,1.0,29185,0.019785206617621138,1337
