feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_rate,min,max
score_diff_home,-2.0,1.0,3.0,-6.5,5.5,138418,0.09383685898913424,-27.0,20.0
asof_batter_success_rate,0.515479,0.555119,0.03964000000000001,0.456019,0.614579,119426,0.08100731077651055,0.0,1.0
asof_batter_middle_rate,0.130319,0.1517,0.02138100000000001,0.09824749999999997,0.18377150000000003,99575,0.06754226860625859,0.0,1.0
asof_pitcher_pitchmix_n,684.0,3725.0,3041.0,-3877.5,8286.5,81418,0.055195201384049264,0.0,15449.0
asof_pitcher_n,684.0,3725.0,3041.0,-3877.5,8286.5,81418,0.055195201384049264,0.0,15449.0
li,0.4,1.32,0.92,-0.9800000000000001,2.7,67303,0.04562630669815849,0.0,10.83
asof_pitcher_middle_rate,0.125644,0.157025,0.03138099999999999,0.07857250000000002,0.2040965,63092,0.04279454656447127,0.0,1.0
asof_pitcher_success_rate,0.499073,0.569045,0.06997200000000003,0.39411499999999994,0.6740030000000001,49870,0.03382622261412196,0.0,1.0
num_runners_on,0.0,1.0,1.0,-1.5,2.5,48408,0.03281693616398164,0.0,3.0
asof_pitcher_strike_rate,0.423077,0.462441,0.03936400000000001,0.364031,0.521487,47085,0.0319371905310995,0.0,1.0
score_diff_pitcher_team,-2.0,2.0,4.0,-8.0,8.0,46709,0.03166514359782305,-27.0,27.0
asof_pitcher_ball_rate,0.348091,0.39216625,0.04407525000000001,0.28197812499999997,0.458279125,45810,0.031072373329715797,0.0,1.0
asof_pitcher_prev1_game_success_rate,0.443299,0.605263,0.161964,0.200353,0.848209,41039,0.028382876630378025,0.0,1.0
asof_pitcher_reverse_rate,0.17893974999999998,0.251064,0.07212425000000003,0.07075337499999994,0.35925037500000007,36412,0.024697822695516517,0.0,1.0
asof_pitcher_prev5_game_success_rate,0.472973,0.572082,0.099109,0.3243095,0.7207455,33016,0.022834110354262065,0.0,1.0
run_top_before,0.0,4.0,4.0,-6.0,10.0,32250,0.021863043118666495,0.0,30.0
asof_pitcher_prev1_game_middle_rate,0.0909091,0.2,0.1090909,-0.07272725000000001,0.36363635000000005,30642,0.021192234355321606,0.0,1.0
asof_pitcher_prev3_game_success_rate,0.465753,0.579926,0.11417300000000008,0.29449349999999985,0.7511855000000002,29759,0.020581545009464648,0.0,1.0
run_total_before,1.0,7.0,6.0,-8.0,16.0,29750,0.020168233574583822,0.0,37.0
asof_pitcher_prev3_game_middle_rate,0.111111,0.182836,0.071725,0.003523499999999999,0.2904235,26757,0.018505339555033622,0.0,1.0
asof_pitcher_offspeed_rate,0.075,0.217011,0.142011,-0.1380165,0.4300275,26720,0.018123855388998168,0.0,1.0
asof_pitcher_fastball_rate,0.486486,0.613636,0.12714999999999999,0.295761,0.8043609999999999,24917,0.016900902123041444,0.0,1.0
run_bot_before,0.0,4.0,4.0,-6.0,10.0,24098,0.016336608157321714,0.0,26.0
asof_batter_n,788.0,5007.0,4219.0,-5540.5,11335.5,22756,0.015426834394058134,0.0,13927.0
asof_pitcher_prev5_game_middle_rate,0.117137,0.178571,0.061434,0.024985999999999994,0.270722,20662,0.014289992371570233,0.0,1.0
asof_pitcher_breaking_rate,0.21585875,0.361801,0.14594225,-0.0030546250000000053,0.580714375,8284,0.0056189378009903,0.0,1.0
game_month,5.0,8.0,3.0,0.5,12.5,0,0.0,3.0,10.0
home_win_expectancy,25.6,74.3,48.699999999999996,-47.449999999999996,147.35,0,0.0,0.0,100.0
away_win_expectancy,25.7,74.4,48.7,-47.35000000000001,147.45000000000002,0,0.0,0.0,100.0
outs_before,0.0,2.0,2.0,-3.0,5.0,0,0.0,0.0,2.0
strikes_before,0.0,2.0,2.0,-3.0,5.0,0,0.0,0.0,2.0
balls_before,0.0,2.0,2.0,-3.0,5.0,0,0.0,0.0,3.0
inning,3.0,7.0,4.0,-3.0,13.0,0,0.0,1.0,13.0
