pitcher_id,pitch_count,success_count,success_rate
23633,15450,8301,0.5372815533980583
23719,14775,8709,0.5894416243654822
22759,14288,7155,0.5007698768197089
21961,13876,7552,0.5442490631305852
22890,12939,6349,0.4906870700981529
23745,12787,6949,0.5434425588488309
22277,12743,6790,0.5328415600721965
23782,12393,6818,0.5501492778181232
23561,12331,7056,0.5722163652582921
23767,11644,6434,0.552559257986946
23880,11433,6554,0.5732528645150005
22908,11157,5989,0.5367930447252846
21955,11115,5794,0.5212775528565002
21916,11088,6163,0.5558261183261183
22708,10202,5073,0.4972554401097824
22834,10198,4815,0.4721514022357325
22249,9878,4964,0.5025308766956874
23903,9876,4283,0.43367760226812474
22380,9788,5187,0.529934613812832
23987,9769,5248,0.5372095403828437
23781,9749,5962,0.6115499025541081
23555,9626,4442,0.46145854976106376
22192,9596,4617,0.4811379741558983
23593,9505,4891,0.5145712782745924
23440,9308,4885,0.5248173614095402
22389,9141,5024,0.5496116398643475
22720,9087,4426,0.4870694398591394
22435,8733,4999,0.572426428489637
23897,8632,4499,0.5212001853568119
21936,8551,4357,0.5095310490001169
22730,8485,4354,0.5131408367707719
23769,8459,3992,0.4719233952003783
24222,8098,4259,0.5259323289701161
23518,8087,4735,0.5855076047978237
22782,7509,3821,0.5088560394193634
22163,7454,4090,0.5486986852696539
22231,7277,4098,0.563144152810224
21441,7208,3866,0.5363485016648168
22293,7181,3772,0.5252750313326835
23988,7139,3715,0.5203810057431013
24115,7126,2963,0.41580129104687064
23852,7076,3361,0.4749858677218768
22419,6855,3607,0.52618526622903
22729,6774,3434,0.5069382934750517
21998,6688,3400,0.5083732057416268
24300,6592,3176,0.4817961165048544
22735,6578,3274,0.49771967163271513
23347,6521,3415,0.523692685170986
22278,6480,3239,0.49984567901234567
21940,6363,3551,0.5580700927235581
23853,6264,3063,0.48898467432950193
22624,6261,3167,0.5058297396582015
23306,6217,3319,0.5338587743284542
22131,6207,4246,0.6840663766714999
22738,6045,3064,0.5068651778329197
23590,6013,2878,0.47862963578912354
22397,5941,3187,0.5364416764854402
22743,5917,2999,0.5068446848064898
23694,5884,3461,0.5882053025152957
22469,5864,3246,0.5535470668485676
23035,5759,2797,0.4856745962840771
24410,5691,3008,0.5285538569671411
23307,5691,2777,0.48796345106308203
23672,5675,2943,0.518590308370044
23637,5587,2781,0.4977626633255772
21690,5331,2961,0.5554305008441193
22741,5318,3063,0.5759684091763821
21789,5314,2770,0.5212645841174257
23411,5306,2927,0.5516396532227666
24053,5295,2627,0.49612842304060434
22668,5290,2884,0.545179584120983
23229,5175,2843,0.5493719806763285
23422,5076,2345,0.4619779353821907
23478,5026,2415,0.4805013927576602
23638,5021,2875,0.5725951005775742
22254,4953,2799,0.5651120533010296
22318,4866,2757,0.5665844636251541
23206,4864,2493,0.5125411184210527
23540,4846,2560,0.5282707387536112
24283,4840,2729,0.5638429752066115
23235,4832,2781,0.5755380794701986
23437,4832,2209,0.45716059602649006
23848,4802,2681,0.5583090379008746
24305,4799,2335,0.486559699937487
23288,4742,2614,0.5512442007591734
21402,4732,2800,0.591715976331361
23630,4729,2714,0.5739056883061958
22094,4656,2228,0.47852233676975947
22575,4649,2374,0.5106474510647451
23225,4614,2159,0.4679237104464673
24240,4562,2201,0.4824638316527839
24164,4550,2578,0.5665934065934066
