column,dtype,nunique,missing_count,missing_rate
season,int64,6,0,0.0
game_month,int64,8,0,0.0
game_dayofweek,int64,7,0,0.0
inning,int64,13,0,0.0
game_type,object,2,0,0.0
score_diff_pitcher_team,int64,52,0,0.0
pitcher_id,int64,792,0,0.0
pitcher_hand,int64,2,0,0.0
pitcher_team_id,int64,13,0,0.0
asof_pitcher_n,int64,15450,0,0.0
asof_pitcher_success_rate,float64,220896,792,0.0005369156635653912
asof_pitcher_reverse_rate,float64,228112,792,0.0005369156635653912
asof_pitcher_middle_rate,float64,120993,792,0.0005369156635653912
asof_pitcher_ball_rate,float64,144809,792,0.0005369156635653912
asof_pitcher_strike_rate,float64,131532,792,0.0005369156635653912
asof_pitcher_prev1_game_success_rate,float64,1924,29185,0.019785206617621138
asof_pitcher_prev3_game_success_rate,float64,6319,29185,0.019785206617621138
asof_pitcher_prev5_game_success_rate,float64,9314,29185,0.019785206617621138
asof_pitcher_prev1_game_middle_rate,float64,1337,29185,0.019785206617621138
asof_pitcher_prev3_game_middle_rate,float64,4653,29185,0.019785206617621138
asof_pitcher_prev5_game_middle_rate,float64,7296,29185,0.019785206617621138
asof_pitcher_pitchmix_n,int64,15450,0,0.0
asof_pitcher_fastball_rate,float64,337588,792,0.0005369156635653912
asof_pitcher_breaking_rate,float64,386613,792,0.0005369156635653912
asof_pitcher_offspeed_rate,float64,449454,792,0.0005369156635653912
