feature,availability,before_filter,after_filter,removed
season,available,True,True,False
game_month,available,True,True,False
game_dayofweek,available,True,True,False
inning,available,True,True,False
top_bottom,available,True,True,False
game_type,available,True,True,False
balls_before,available,True,True,False
strikes_before,available,True,True,False
outs_before,available,True,True,False
run_top_before,available,True,True,False
run_bot_before,available,True,True,False
run_total_before,available,True,True,False
score_diff_home,available,True,True,False
score_diff_pitcher_team,available,True,True,False
runner_on_1b,available,True,True,False
runner_on_2b,available,True,True,False
runner_on_3b,available,True,True,False
num_runners_on,available,True,True,False
base_state,available,True,True,False
home_win_expectancy,available,True,True,False
away_win_expectancy,available,True,True,False
li,available,True,True,False
pitcher_id,conditional,True,True,False
batter_id,available,True,True,False
pitcher_hand,available,True,True,False
batter_hand,available,True,True,False
pitcher_team_id,available,True,True,False
batter_team_id,available,True,True,False
asof_pitcher_n,conditional,True,True,False
asof_pitcher_success_rate,conditional,True,True,False
asof_pitcher_reverse_rate,conditional,True,True,False
asof_pitcher_middle_rate,conditional,True,True,False
asof_pitcher_ball_rate,conditional,True,True,False
asof_pitcher_strike_rate,conditional,True,True,False
asof_pitcher_prev1_game_success_rate,conditional,True,True,False
asof_pitcher_prev3_game_success_rate,conditional,True,True,False
asof_pitcher_prev5_game_success_rate,conditional,True,True,False
asof_pitcher_prev1_game_middle_rate,conditional,True,True,False
asof_pitcher_prev3_game_middle_rate,conditional,True,True,False
asof_pitcher_prev5_game_middle_rate,conditional,True,True,False
asof_batter_n,conditional,True,True,False
asof_batter_success_rate,conditional,True,True,False
asof_batter_middle_rate,conditional,True,True,False
asof_pitcher_pitchmix_n,conditional,True,True,False
asof_pitcher_fastball_rate,conditional,True,True,False
asof_pitcher_breaking_rate,conditional,True,True,False
asof_pitcher_offspeed_rate,conditional,True,True,False
