feature,nunique,top_value_ratio,is_constant,is_near_constant
game_type,2,0.8908515536658053,False,False
runner_on_3b,2,0.8883717083409035,False,False
runner_on_2b,2,0.7832216566831086,False,False
pitcher_hand,2,0.7414730742218113,False,False
runner_on_1b,2,0.6496476151995944,False,False
batter_hand,2,0.5283365376532447,False,False
num_runners_on,4,0.5269149314076681,False,False
base_state,8,0.5269149314076681,False,False
top_bottom,2,0.5103491849999865,False,False
balls_before,4,0.44204158113527836,False,False
strikes_before,3,0.41225970990283994,False,False
run_bot_before,25,0.3444022474530402,False,False
outs_before,3,0.34297792951219314,False,False
run_top_before,30,0.31129719366656455,False,False
score_diff_home,47,0.2557074406206528,False,False
score_diff_pitcher_team,52,0.2557074406206528,False,False
game_month,8,0.17324139782467807,False,False
season,6,0.1718584332367066,False,False
game_dayofweek,7,0.17091883082546716,False,False
run_total_before,38,0.16832102675629723,False,False
batter_team_id,13,0.14461809839657458,False,False
pitcher_team_id,13,0.1414569396349516,False,False
inning,13,0.11661103171869958,False,False
asof_pitcher_prev1_game_middle_rate,1337,0.06557060723822486,False,False
asof_pitcher_prev1_game_success_rate,1924,0.05079095681810794,False,False
home_win_expectancy,977,0.03917653949719746,False,False
away_win_expectancy,981,0.03838065693529624,False,False
li,502,0.030341158381985665,False,False
asof_pitcher_offspeed_rate,449454,0.027487621243980194,False,False
asof_pitcher_prev3_game_success_rate,6319,0.0226701993973333,False,False
asof_pitcher_prev5_game_success_rate,9314,0.01771898192622347,False,False
asof_pitcher_prev3_game_middle_rate,4653,0.011462009658989133,False,False
pitcher_id,792,0.010473922982430927,False,False
batter_id,830,0.009442122931993395,False,False
asof_pitcher_prev5_game_middle_rate,7296,0.008037169748815104,False,False
asof_pitcher_success_rate,220896,0.005393746184629994,False,False
asof_batter_success_rate,166832,0.004453075504896687,False,False
asof_batter_middle_rate,92883,0.004337085267069218,False,False
asof_pitcher_middle_rate,120993,0.004155870582649393,False,False
asof_pitcher_ball_rate,144809,0.004007325510411721,False,False
asof_pitcher_strike_rate,131532,0.003944923014311877,False,False
asof_pitcher_fastball_rate,337588,0.0034585905175337447,False,False
asof_pitcher_reverse_rate,228112,0.0034212846774740553,False,False
asof_pitcher_breaking_rate,386613,0.0030129553008207285,False,False
asof_batter_n,13928,0.0005626767686354478,False,False
asof_pitcher_n,15450,0.0005369156635653912,False,False
asof_pitcher_pitchmix_n,15450,0.0005369156635653912,False,False
