feature,feature_group,type,scaling,high_cardinality,full_feature,reduced_feature,reduced_drop_candidate
season,pitcher_information,numeric,no_scale,False,True,True,False
game_month,game_context,numeric,no_scale,False,True,True,False
game_dayofweek,game_context,categorical,not_applicable,False,True,True,False
inning,game_context,numeric,no_scale,False,True,True,False
top_bottom,game_context,categorical,not_applicable,False,True,True,False
game_type,game_context,categorical,not_applicable,False,True,True,False
balls_before,game_context,numeric,no_scale,False,True,True,False
strikes_before,game_context,numeric,no_scale,False,True,True,False
outs_before,game_context,numeric,no_scale,False,True,True,False
run_top_before,game_context,numeric,scale,False,True,True,False
run_bot_before,game_context,numeric,scale,False,True,True,False
run_total_before,game_context,numeric,scale,False,True,False,True
score_diff_home,game_context,numeric,scale,False,True,True,False
score_diff_pitcher_team,game_context,numeric,scale,False,True,True,False
runner_on_1b,game_context,numeric,no_scale,False,True,True,False
runner_on_2b,game_context,numeric,no_scale,False,True,True,False
runner_on_3b,game_context,numeric,no_scale,False,True,True,False
num_runners_on,game_context,numeric,no_scale,False,True,False,True
base_state,game_context,categorical,not_applicable,False,True,True,False
home_win_expectancy,game_context,numeric,scale,False,True,True,False
away_win_expectancy,game_context,numeric,scale,False,True,True,False
li,game_context,numeric,scale,False,True,True,False
pitcher_id,identifier,identifier,not_applicable,True,True,True,False
batter_id,batter_information,categorical,not_applicable,True,True,True,False
pitcher_hand,pitcher_information,categorical,not_applicable,False,True,True,False
batter_hand,batter_information,categorical,not_applicable,False,True,True,False
pitcher_team_id,pitcher_information,categorical,not_applicable,False,True,True,False
batter_team_id,batter_information,categorical,not_applicable,False,True,True,False
asof_pitcher_n,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_success_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_reverse_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_middle_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_ball_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_strike_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev1_game_success_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev3_game_success_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev5_game_success_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev1_game_middle_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev3_game_middle_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_prev5_game_middle_rate,pitcher_information,numeric,scale,False,True,True,False
asof_batter_n,batter_information,numeric,scale,False,True,True,False
asof_batter_success_rate,batter_information,numeric,scale,False,True,True,False
asof_batter_middle_rate,batter_information,numeric,scale,False,True,True,False
asof_pitcher_pitchmix_n,pitcher_information,numeric,scale,False,True,False,True
asof_pitcher_fastball_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_breaking_rate,pitcher_information,numeric,scale,False,True,True,False
asof_pitcher_offspeed_rate,pitcher_information,numeric,scale,False,True,True,False
