feature,group,implementation,main_train_generation
hist_pitcher_prev1_success,pitch_level,defined,BLOCKED
hist_pitcher_pitch_count,pitch_level,defined,BLOCKED
hist_pitcher_last5_success_rate,pitch_level,defined,BLOCKED
hist_pitcher_last5_count,pitch_level,defined,BLOCKED
hist_pitcher_last10_success_rate,pitch_level,defined,BLOCKED
hist_pitcher_last10_count,pitch_level,defined,BLOCKED
hist_pitcher_last20_success_rate,pitch_level,defined,BLOCKED
hist_pitcher_last20_count,pitch_level,defined,BLOCKED
hist_pitcher_last50_success_rate,pitch_level,defined,BLOCKED
hist_pitcher_last50_count,pitch_level,defined,BLOCKED
hist_pitcher_season_success_rate,season_level,defined,BLOCKED
hist_pitcher_season_pitch_count,season_level,defined,BLOCKED
hist_pitcher_by_balls_before_success_rate,conditional,defined,BLOCKED
hist_pitcher_by_balls_before_count,conditional,defined,BLOCKED
