fold,model,train_start,train_end,train_period,valid_season,train_rows,valid_rows,train_pitchers,valid_pitchers,train_rate,valid_rate,raw_feature_count,transformed_feature_count,pitcher_id,historical,naive_probability,naive_brier,naive_logloss,brier,logloss,auc,brier_improvement,logloss_improvement,beats_naive,prediction_mean,n_iter,converged,convergence_warning,warning_message,fit_seconds,predict_seconds,total_seconds
1,LR-D-PitcherID-Historical,2019,2021,2019~2021,2022,728588,247472,560,390,0.5431423520563061,0.5289204435249241,47,1243,True,True,0.5431423520563061,0.24936587137592806,0.6918804085128248,0.24415136914226274,0.681200957460921,0.5735835951368632,0.005214502233665319,0.010679451051903821,True,0.529354453086853,338,True,False,,590.933244848,1.554004225999961,593.4803734380002
1,LR-C-Historical,2019,2021,2019~2021,2022,728588,247472,560,390,0.5431423520563061,0.5289204435249241,46,683,False,True,0.5431423520563061,0.24936587137592806,0.6918804085128248,0.24420298992136935,0.6813078087114562,0.5731106166578777,0.005162881454558704,0.010572599801368598,True,0.5288735032081604,321,True,False,,528.9797451029999,2.1348119179992864,532.8103834550002
1,LR-B-PitcherID,2019,2021,2019~2021,2022,728588,247472,560,390,0.5431423520563061,0.5289204435249241,28,1208,True,False,0.5431423520563061,0.24936587137592806,0.6918804085128248,0.24529678822197357,0.6835292741114826,0.5663304535659206,0.004069083153954489,0.008351134401342275,True,0.5462198853492737,332,True,False,,322.742682266,1.6405240140002206,325.16336720399977
1,LR-A-NoPitcherID,2019,2021,2019~2021,2022,728588,247472,560,390,0.5431423520563061,0.5289204435249241,27,648,False,False,0.5431423520563061,0.24936587137592806,0.6918804085128248,0.2455056353915366,0.683952201370526,0.5632085889840964,0.003860235984391447,0.007928207142298804,True,0.5468876361846924,334,True,False,,309.0462403490001,1.335884026999338,311.99045738599943
2,LR-C-Historical,2019,2022,2019~2022,2023,976060,245525,648,382,0.5395365039034485,0.49995723449750534,46,771,False,True,0.5395365039034485,0.2515665145397311,0.6962900382582053,0.2513691289887908,0.6960774778650571,0.5233260596119357,0.00019738555094028776,0.00021256039314820896,True,0.5147213339805603,310,True,False,,722.9265471489998,1.53120708699862,725.4916715920008
2,LR-D-PitcherID-Historical,2019,2022,2019~2022,2023,976060,245525,648,382,0.5395365039034485,0.49995723449750534,47,1419,True,True,0.5395365039034485,0.2515665145397311,0.6962900382582053,0.2514140321640157,0.6961701653997905,0.5231667439235055,0.00015248237571541257,0.00011987285841486006,True,0.515269935131073,312,True,False,,733.1560001099988,2.493762271000378,737.6778469849996
2,LR-B-PitcherID,2019,2022,2019~2022,2023,976060,245525,648,382,0.5395365039034485,0.49995723449750534,28,1384,True,False,0.5395365039034485,0.2515665145397311,0.6962900382582053,0.25443393065154857,0.7024024243582137,0.49609621824431366,-0.0028674161118174557,-0.006112386100008305,False,0.5388331413269043,260,True,False,,361.7444981810004,1.514579684999262,363.95498092100024
2,LR-A-NoPitcherID,2019,2022,2019~2022,2023,976060,245525,648,382,0.5395365039034485,0.49995723449750534,27,736,False,False,0.5395365039034485,0.2515665145397311,0.6962900382582053,0.25461185734815767,0.7027567829467931,0.4915301352018426,-0.0030453428084265544,-0.006466744688587767,False,0.5389354228973389,255,True,False,,340.97092598400104,0.8533047820001229,342.6206449850006
3,LR-D-PitcherID-Historical,2019,2023,2019~2023,2024,1221585,253507,711,391,0.5315815109059132,0.4861049201797189,47,1553,True,True,0.5315815109059132,0.2518750479820695,0.6969036062219706,0.24984287789626966,0.6928739447162278,0.5304259477721519,0.0020321700857998393,0.004029661505742799,True,0.5017250180244446,259,True,False,,769.6552681640005,1.87744944699989,773.5873965520004
3,LR-C-Historical,2019,2023,2019~2023,2024,1221585,253507,711,391,0.5315815109059132,0.4861049201797189,46,842,False,True,0.5315815109059132,0.2518750479820695,0.6969036062219706,0.24986328521040793,0.6929151436674885,0.530074314826019,0.0020117627716615682,0.003988462554482042,True,0.501706600189209,263,True,False,,776.696220550999,1.7255595850001555,779.6661671040001
3,LR-B-PitcherID,2019,2023,2019~2023,2024,1221585,253507,711,391,0.5315815109059132,0.4861049201797189,28,1518,True,False,0.5315815109059132,0.2518750479820695,0.6969036062219706,0.25391698060524664,0.7011764727130396,0.4999097067877341,-0.002041932623177145,-0.004272866491069061,False,0.5329518914222717,284,True,False,,480.7905576079993,1.0921540829986043,482.62827656399895
3,LR-A-NoPitcherID,2019,2023,2019~2023,2024,1221585,253507,711,391,0.5315815109059132,0.4861049201797189,27,807,False,False,0.5315815109059132,0.2518750479820695,0.6969036062219706,0.2540624823803619,0.7014610581416117,0.49585251511663003,-0.002187434398292387,-0.004557451919641187,False,0.5336187481880188,229,True,False,,376.2617654700007,0.9456022959984693,378.289970754
