fold,model,train_period,valid_season,pitcher_id,historical,raw_feature_count,overall_rows,known_rows,unknown_rows,known_pitchers,unknown_pitchers,unknown_row_rate,overall_brier,overall_logloss,overall_auc,overall_pr_auc,known_brier,known_logloss,known_auc,known_pr_auc,known_target_rate,unknown_brier,unknown_logloss,unknown_auc,unknown_pr_auc,unknown_target_rate,unknown_encoder_status,n_iter,converged,convergence_warning,fit_seconds,predict_seconds,total_seconds
1,LR-A-NoPitcherID,2019~2021,2022,False,False,27,247472,208522,38950,302,88,0.15739154328570504,0.2455056353915366,0.683952201370526,0.5632085889840964,0.5992696940827066,0.24575253942006584,0.6844529434537012,0.5628718852638257,0.5962921106446771,0.526126739624596,0.24418381454848256,0.6812714378103754,0.5637478180703799,0.6140215232950111,0.5438767650834403,NOT_APPLICABLE,334,True,False,306.21789182099997,0.904039080000075,307.98140493
1,LR-B-PitcherID,2019~2021,2022,True,False,28,247472,208522,38950,302,88,0.15739154328570504,0.24529678822197357,0.6835292741114826,0.5663304535659206,0.6019528132632207,0.24551368850522362,0.6839691516657086,0.5664751093248234,0.5994394886430519,0.526126739624596,0.2441355948750198,0.6811743537684187,0.564151057093593,0.6143968016410868,0.5438767650834403,PASS,332,True,False,312.594564633,1.0169121779999841,314.71074997799997
1,LR-C-Historical,2019~2021,2022,False,True,46,247472,208522,38950,302,88,0.15739154328570504,0.24420298992136935,0.6813078087114562,0.5731106166578777,0.604062909595892,0.24432270783988536,0.6815461416335249,0.5728686334673606,0.6018661587217642,0.526126739624596,0.2435620702858158,0.6800318739855113,0.5729812240755365,0.6150338097483433,0.5438767650834403,NOT_APPLICABLE,321,True,False,536.038043951,1.581197512000017,538.994569311
1,LR-D-PitcherID-Historical,2019~2021,2022,True,True,47,247472,208522,38950,302,88,0.15739154328570504,0.24415136914226274,0.681200957460921,0.5735835951368632,0.604570061624064,0.2442778050901172,0.6814541006409668,0.5733820707105117,0.6023984274599786,0.526126739624596,0.2434744839890278,0.6798457348116405,0.5733614157065516,0.6154917923534947,0.5438767650834403,PASS,338,True,False,566.2447429610002,1.468529204999868,569.616201049
2,LR-A-NoPitcherID,2019~2022,2023,False,False,27,245525,211647,33878,319,63,0.13798187557275227,0.25461185734815767,0.7027567829467931,0.4915301352018426,0.4941806289775257,0.25449873447879084,0.7025219977399707,0.4929996301545191,0.4960625614844165,0.5001677321199922,0.2553185730909071,0.7042235632959388,0.48230175517618806,0.482932932604354,0.49864218666981525,NOT_APPLICABLE,255,True,False,338.3410922579999,0.8403594240003258,340.09135326
2,LR-B-PitcherID,2019~2022,2023,True,False,28,245525,211647,33878,319,63,0.13798187557275227,0.25443393065154857,0.7024024243582137,0.49609621824431366,0.49727127776851937,0.25429328966792414,0.7021120384646304,0.4981891532454583,0.49963732930835725,0.5001677321199922,0.25531256109789013,0.704216560470714,0.48248652129515385,0.48271947591313835,0.49864218666981525,PASS,260,True,False,357.19439759299985,1.5730878429999393,359.83519412299984
2,LR-C-Historical,2019~2022,2023,False,True,46,245525,211647,33878,319,63,0.13798187557275227,0.2513691289887908,0.6960774778650571,0.5233260596119357,0.5118688966486397,0.2514317148834241,0.6962200462863655,0.5248183609879853,0.5125551017596853,0.5001677321199922,0.25097813433617117,0.6951868060820535,0.5122670908572913,0.5054230322812425,0.49864218666981525,NOT_APPLICABLE,310,True,False,726.5465708370002,1.619230238,730.378914506
2,LR-D-PitcherID-Historical,2019~2022,2023,True,True,47,245525,211647,33878,319,63,0.13798187557275227,0.2514140321640157,0.6961701653997905,0.5231667439235055,0.5118029538023465,0.251472871635086,0.6963053397870049,0.5247520602707927,0.5125873946082068,0.5001677321199922,0.25104644265065557,0.6953256865778192,0.5114427435450137,0.5044336345978025,0.49864218666981525,PASS,312,True,False,726.0166943210006,1.9716724949994386,730.6732442510001
3,LR-A-NoPitcherID,2019~2023,2024,False,False,27,253507,203159,50348,310,81,0.1986059556540845,0.2540624823803619,0.7014610581416117,0.49585251511663003,0.47980183317156877,0.25397418206303346,0.7012827469285132,0.4974721313274454,0.4801049181584439,0.4851569460373402,0.2544187826140978,0.7021805609568565,0.488746972727231,0.47842565239301954,0.48993008659728293,NOT_APPLICABLE,229,True,False,372.3942571809994,1.58196296099959,375.41239080000014
3,LR-B-PitcherID,2019~2023,2024,True,False,28,253507,203159,50348,310,81,0.1986059556540845,0.25391698060524664,0.7011764727130396,0.4999097067877341,0.48242069034438456,0.25377961517165165,0.7008990485135713,0.5025642581890596,0.48343685882816273,0.4851569460373402,0.2544712632803029,0.7022959059167387,0.48840769635241427,0.4783570479879394,0.48993008659728293,PASS,284,True,False,491.29623590899973,1.0789948660003574,493.6146649410002
3,LR-C-Historical,2019~2023,2024,False,True,46,253507,203159,50348,310,81,0.1986059556540845,0.24986328521040793,0.6929151436674885,0.530074314826019,0.5059037325567397,0.25013311159480967,0.6934593693239949,0.5269297252918272,0.5022091385194966,0.4851569460373402,0.24877450991787106,0.6907191410427531,0.5427953950451643,0.5215891747281354,0.48993008659728293,NOT_APPLICABLE,263,True,False,792.6763203270002,1.659301669999877,795.7937842129995
3,LR-D-PitcherID-Historical,2019~2023,2024,True,True,47,253507,203159,50348,310,81,0.1986059556540845,0.24984287789626966,0.6928739447162278,0.5304259477721519,0.5063264036407898,0.2501066426942412,0.6934061179944383,0.5273931192921801,0.5027702063443531,0.4851569460373402,0.248778561685276,0.6907265745917361,0.5427691832033811,0.5215154918741338,0.48993008659728293,PASS,259,True,False,787.2867232319995,1.7752624099994136,790.8127209389995
