model,penalty,C,l1_ratio,mean_overall_brier,std_overall_brier,mean_known_brier,std_known_brier,mean_unknown_brier,std_unknown_brier,mean_logloss,mean_coefficient_sparsity,mean_nonzero_coef,mean_n_iter,convergence_warning_folds,all_converged,mean_fit_seconds
LR-C-Historical,l1,0.001,,0.24796138514547097,0.002213351563135233,0.24810216008912178,0.002199304505342251,0.24731449174293918,0.0023802144119407366,0.6890306481188048,0.962250628041558,29.0,33.0,0,True,86.72694342500047
LR-D-PitcherID-Historical,l1,0.001,,0.24796141072959224,0.002213359260732617,0.24810218200961623,0.002199312265195274,0.2473145394028563,0.002380225869190751,0.6890307008178569,0.9794279610162855,29.0,33.0,0,True,89.09558242800024
LR-C-Historical,elasticnet,0.001,0.75,0.2479685389326882,0.002214428513087064,0.24810592451032176,0.002198834279633275,0.24734035786177144,0.0023907591333996695,0.6890462298295933,0.953229089701637,35.666666666666664,28.0,0,True,74.47358329366762
LR-D-PitcherID-Historical,elasticnet,0.001,0.75,0.24796854010059252,0.0022144270795019664,0.24810592531111184,0.0021988327636230155,0.24734036112456556,0.002390758719643093,0.6890462320782044,0.9744985491883827,35.666666666666664,28.0,0,True,75.50100716799837
LR-D-PitcherID-Historical,elasticnet,0.001,0.5,0.24796900545809045,0.002202968700222371,0.24810473308303296,0.0021866952244628105,0.24734887819557946,0.0023825994612149703,0.6890477693784446,0.9679377791997851,44.666666666666664,33.0,0,True,90.98155318366662
LR-C-Historical,elasticnet,0.001,0.5,0.24796901905496935,0.0022029802761123294,0.2481047509435426,0.00218670935121735,0.2473488670305752,0.0023825904488710323,0.6890477985123397,0.9412004265445235,44.666666666666664,33.0,0,True,87.6960108643331
LR-D-PitcherID-Historical,elasticnet,0.001,0.25,0.2479695465674183,0.0021963889635477707,0.24810289422844933,0.002179315552577746,0.24736276945835534,0.002383278862345988,0.6890489720902805,0.9532742758861615,65.33333333333333,37.333333333333336,0,True,111.48687347399998
LR-C-Historical,elasticnet,0.001,0.25,0.247969553761019,0.0021964042976979517,0.24810291481899407,0.0021793376681202934,0.24736271521800468,0.0023832697828218645,0.6890489890171944,0.9192755131137672,61.333333333333336,37.333333333333336,0,True,108.22054789499937
LR-D-PitcherID-Historical,elasticnet,0.01,0.75,0.24797893802998658,0.0022381505994092978,0.24810747428887917,0.0022289027667784208,0.24739935687295234,0.0023872079745353102,0.6890703399791253,0.8934192238986934,150.0,32.666666666666664,0,True,103.74981813200004
LR-C-Historical,elasticnet,0.01,0.75,0.24798014922363618,0.0022377903846827305,0.24810888190850444,0.002228497355176062,0.2473994940195582,0.002386927750112812,0.6890728218385648,0.8572836743894117,109.0,32.333333333333336,0,True,93.25449462933345
LR-D-PitcherID-Historical,elasticnet,0.01,0.25,0.24798507764896574,0.00223174901770926,0.2481140648293638,0.0022217819893551117,0.24740274928652448,0.0023845080907485615,0.6890833318419244,0.7133847742231465,403.6666666666667,32.666666666666664,0,True,150.84681687566868
LR-D-PitcherID-Historical,l1,0.01,,0.2479859993289002,0.0022485101049763007,0.24811574529447497,0.002239854709798224,0.247400276239594,0.0023941379469726073,0.6890848677911977,0.9150000109831025,119.0,30.0,0,True,93.87108573566609
LR-D-PitcherID-Historical,elasticnet,0.01,0.5,0.24798631614984645,0.002234132175227019,0.24811502316708664,0.0022251564415560576,0.24740580678533933,0.0023820018356668906,0.6890856832035976,0.8392674246281714,226.33333333333334,35.333333333333336,0,True,126.2903327936662
