model,feature
M2-Context,season
M2-Context,game_month
M2-Context,game_dayofweek
M2-Context,inning
M2-Context,top_bottom
M2-Context,game_type
M2-Context,balls_before
M2-Context,strikes_before
M2-Context,outs_before
M2-Context,run_top_before
M2-Context,run_bot_before
M2-Context,run_total_before
M2-Context,score_diff_home
M2-Context,score_diff_pitcher_team
M2-Context,runner_on_1b
M2-Context,runner_on_2b
M2-Context,runner_on_3b
M2-Context,num_runners_on
M2-Context,base_state
M2-Context,home_win_expectancy
M2-Context,away_win_expectancy
M2-Context,li
M2-Context,batter_id
M2-Context,pitcher_hand
M2-Context,batter_hand
M2-Context,pitcher_team_id
M2-Context,batter_team_id
M3-Historical,season
M3-Historical,game_month
M3-Historical,game_dayofweek
M3-Historical,inning
M3-Historical,top_bottom
M3-Historical,game_type
M3-Historical,balls_before
M3-Historical,strikes_before
M3-Historical,outs_before
M3-Historical,run_top_before
M3-Historical,run_bot_before
M3-Historical,run_total_before
M3-Historical,score_diff_home
M3-Historical,score_diff_pitcher_team
M3-Historical,runner_on_1b
M3-Historical,runner_on_2b
M3-Historical,runner_on_3b
M3-Historical,num_runners_on
M3-Historical,base_state
M3-Historical,home_win_expectancy
M3-Historical,away_win_expectancy
M3-Historical,li
M3-Historical,batter_id
M3-Historical,pitcher_hand
M3-Historical,batter_hand
M3-Historical,pitcher_team_id
M3-Historical,batter_team_id
M3-Historical,asof_pitcher_n
M3-Historical,asof_pitcher_success_rate
M3-Historical,asof_pitcher_reverse_rate
M3-Historical,asof_pitcher_middle_rate
M3-Historical,asof_pitcher_ball_rate
M3-Historical,asof_pitcher_strike_rate
M3-Historical,asof_pitcher_prev1_game_success_rate
M3-Historical,asof_pitcher_prev3_game_success_rate
M3-Historical,asof_pitcher_prev5_game_success_rate
M3-Historical,asof_pitcher_prev1_game_middle_rate
M3-Historical,asof_pitcher_prev3_game_middle_rate
M3-Historical,asof_pitcher_prev5_game_middle_rate
M3-Historical,asof_batter_n
M3-Historical,asof_batter_success_rate
M3-Historical,asof_batter_middle_rate
M3-Historical,asof_pitcher_pitchmix_n
M3-Historical,asof_pitcher_fastball_rate
M3-Historical,asof_pitcher_breaking_rate
M3-Historical,asof_pitcher_offspeed_rate
M4-PitcherID,season
M4-PitcherID,game_month
M4-PitcherID,game_dayofweek
M4-PitcherID,inning
M4-PitcherID,top_bottom
M4-PitcherID,game_type
M4-PitcherID,balls_before
M4-PitcherID,strikes_before
M4-PitcherID,outs_before
M4-PitcherID,run_top_before
M4-PitcherID,run_bot_before
M4-PitcherID,run_total_before
M4-PitcherID,score_diff_home
M4-PitcherID,score_diff_pitcher_team
M4-PitcherID,runner_on_1b
M4-PitcherID,runner_on_2b
M4-PitcherID,runner_on_3b
M4-PitcherID,num_runners_on
M4-PitcherID,base_state
M4-PitcherID,home_win_expectancy
M4-PitcherID,away_win_expectancy
M4-PitcherID,li
M4-PitcherID,batter_id
M4-PitcherID,pitcher_hand
M4-PitcherID,batter_hand
M4-PitcherID,pitcher_team_id
M4-PitcherID,batter_team_id
M4-PitcherID,asof_pitcher_n
M4-PitcherID,asof_pitcher_success_rate
M4-PitcherID,asof_pitcher_reverse_rate
M4-PitcherID,asof_pitcher_middle_rate
M4-PitcherID,asof_pitcher_ball_rate
M4-PitcherID,asof_pitcher_strike_rate
M4-PitcherID,asof_pitcher_prev1_game_success_rate
M4-PitcherID,asof_pitcher_prev3_game_success_rate
M4-PitcherID,asof_pitcher_prev5_game_success_rate
M4-PitcherID,asof_pitcher_prev1_game_middle_rate
M4-PitcherID,asof_pitcher_prev3_game_middle_rate
M4-PitcherID,asof_pitcher_prev5_game_middle_rate
