fold,model,stage,train_period,valid_season,feature_count,overall_brier,known_brier,unknown_brier,n_iter,converged,fit_seconds
1,M0-Mean,M0,2019~2021,2022,0,0.24936587137592806,0.24960692543714924,0.24807536880971587,0,True,0.0
1,M2-Context,M2,2019~2021,2022,27,0.24728041976746135,0.2475824503347949,0.24566347450529133,36,True,45.92324894500052
1,M3-Historical,M3,2019~2021,2022,46,0.24486241761611782,0.24500680324445956,0.24408943738523078,35,True,79.96513189699908
1,M3-Historical-Reduced,Reduced,2019~2021,2022,43,0.24486213361557413,0.24500650131737062,0.24408924935590773,35,True,76.96859556699928
1,M4-PitcherID,M4,2019~2021,2022,47,0.24486243586166806,0.2450068162249073,0.24408948381793605,35,True,82.41169315300067
1,M4-PitcherID-Reduced,Reduced,2019~2021,2022,44,0.24486213358585868,0.24500650158543086,0.24408924773202584,35,True,77.44358936100616
2,M0-Mean,M0,2019~2022,2023,0,0.2515665145397311,0.25154986987127514,0.25167049925384344,0,True,0.0
2,M2-Context,M2,2019~2022,2023,27,0.25246194880301376,0.25237797748591195,0.2529865452181104,24,True,44.28839475700079
2,M3-Historical,M3,2019~2022,2023,46,0.24989255975633184,0.24991343851900233,0.24976212326412742,30,True,97.96443076100695
2,M3-Historical-Reduced,Reduced,2019~2022,2023,43,0.24989304195227374,0.2499137752835015,0.24976351401808716,30,True,89.66275522400247
2,M4-PitcherID,M4,2019~2022,2023,47,0.24989261127779985,0.24991348328884383,0.249762216965225,30,True,96.24738070500462
2,M4-PitcherID-Reduced,Reduced,2019~2022,2023,44,0.2498930719801351,0.24991381720051498,0.24976346977050834,30,True,90.792473538997
3,M0-Mean,M0,2019~2023,2024,0,0.2518750479820695,0.2519349249127044,0.25163343883471795,0,True,0.0
3,M2-Context,M2,2019~2023,2024,27,0.2523595376428682,0.25235784422597557,0.2523663707421472,37,True,80.38703162800084
3,M3-Historical,M3,2019~2023,2024,46,0.24912917806396326,0.2493862385039035,0.2480919145794593,34,True,130.82054827600223
3,M3-Historical-Reduced,Reduced,2019~2023,2024,43,0.24912976633374095,0.2493869293034778,0.2480920891316921,30,True,113.59027556699584
3,M4-PitcherID,M4,2019~2023,2024,47,0.24912918504930878,0.2493862465150975,0.24809191742540784,34,True,133.11783732799813
3,M4-PitcherID-Reduced,Reduced,2019~2023,2024,44,0.24912976303808954,0.24938692595214199,0.24809208606073177,30,True,115.95079602600163
