fold,valid_season,calibration_train_seasons,method,subgroup,rows,target_rate,prediction_mean,brier,logloss,roc_auc,pr_auc,ece,mce,overconfidence_index,underconfidence_index
2,2023,2022~2022,Raw,Overall,245525,0.49995723449750534,0.5104240775108337,0.24989255975633184,0.6929881276876761,0.5309713873514964,0.5187054325093681,0.010660356662142533,0.17081476798871664,0.009394929606394258,0.0010902921407701686
2,2023,2022~2022,Raw,Known,211647,0.5001677321199922,0.5121800899505615,0.24991343851900233,0.6930354774675606,0.5317052478846636,0.5190109610558524,0.012050407423795298,0.16933187271686312,0.009980961124699886,0.0018426535734720857
2,2023,2022~2022,Raw,Unknown,33878,0.49864218666981525,0.499454140663147,0.24976212326412742,0.6926923180512391,0.5260034373478982,0.5163931613522726,0.009195817446538385,0.1872130316846511,0.009195817446538385,0.0
2,2023,2022~2022,Platt,Overall,245525,0.49995723449750534,0.5110649817873788,0.2502948756047219,0.6938563934204344,0.5309713873846735,0.5187054324495904,0.014885206699170647,0.2716705064109646,0.01481189440917981,0.0
2,2023,2022~2022,Platt,Known,211647,0.5001677321199922,0.5131779509333921,0.25033037558457827,0.6939378864880148,0.531705247840015,0.5190109609759253,0.014826509959032029,0.2716705064109646,0.01463751602101259,0.0
2,2023,2022~2022,Platt,Unknown,33878,0.49864218666981525,0.4978645691052156,0.250073095563496,0.6933472794445751,0.5260034373478982,0.5163931613522726,0.015251904525492094,0.24098335093753342,0.015222386844401121,0.0
2,2023,2022~2022,Isotonic,Overall,245525,0.49995723449750534,0.5109584927558899,0.2506349797966523,0.6946239575739214,0.530872105810424,0.5180320724667771,0.012624232877649385,0.2024758606325856,0.012624232877649385,0.0
2,2023,2022~2022,Isotonic,Known,211647,0.5001677321199922,0.512989342212677,0.25073315167383203,0.6948432154620753,0.5315972232462827,0.5183591337379043,0.012821553252450458,0.20121549920560755,0.012757910491629968,6.364276082048898e-05
2,2023,2022~2022,Isotonic,Unknown,33878,0.49864218666981525,0.49827149510383606,0.2500216678157364,0.6932541814875491,0.5259675101668938,0.5155698989840121,0.012186441115058066,0.23380479358491446,0.012068370390694173,0.0
3,2024,2022~2023,Raw,Overall,253507,0.4861049201797189,0.49888190627098083,0.24912917806396326,0.6914161083585089,0.5357862434726309,0.5131698101126712,0.012797955243329715,0.30668166814706266,0.008502541984001343,0.004267800609579057
3,2024,2022~2023,Raw,Known,203159,0.4851569460373402,0.49980202317237854,0.2493862385039035,0.6919336598118292,0.5321975380120755,0.5085491082947244,0.014644972889328506,0.303365512140866,0.009749616191814088,0.004860900926418871
3,2024,2022~2023,Raw,Unknown,50348,0.48993008659728293,0.49516960978507996,0.2480919145794593,0.6893277386972496,0.549554935650027,0.5306625149612457,0.005472772746811797,0.3162985801696777,0.003494678687147709,0.0019383705353930145
3,2024,2022~2023,Platt,Overall,253507,0.4861049201797189,0.49573052416587193,0.24904880822793599,0.6912527084930944,0.535786243472631,0.5131698100930466,0.009640792472224007,0.4286404076399866,0.0061800632761796395,0.0034212825535453436
3,2024,2022~2023,Platt,Known,203159,0.4851569460373402,0.496634295171712,0.2492924903414089,0.6917431898914426,0.5321975379150756,0.5085491082685835,0.011477349134371824,0.3680483083751457,0.007279007068817622,0.004050674475144719
3,2024,2022~2023,Platt,Unknown,50348,0.48993008659728293,0.4920837216359704,0.2480655275714836,0.6892735690951625,0.5495549356500271,0.5306625149612457,0.0024566254722663884,0.731600903964192,0.0014036185677763439,0.0010162068879707483
3,2024,2022~2023,Isotonic,Overall,253507,0.4861049201797189,0.4955779016017914,0.24906120585222571,0.6915980296956604,0.5356991421979953,0.5120882207875597,0.009527325122798367,0.4051817774772644,0.006292179965564566,0.0032035878432345806
3,2024,2022~2023,Isotonic,Known,203159,0.4851569460373402,0.49642470479011536,0.24928557583675537,0.6917310472935564,0.5321503843328249,0.5077155194025702,0.011315456226932613,0.32996970415115356,0.007493372130357267,0.0037433280483569554
3,2024,2022~2023,Isotonic,Unknown,50348,0.48993008659728293,0.49216076731681824,0.24815585148488128,0.6910612909538842,0.5493492308239256,0.5288947600006015,0.00250436284332873,0.7060301303863525,0.0013264169305494283,0.001145208941239403
