transformed_feature,raw_feature,feature_group,transformed_type,category,coefficient,abs_coefficient,odds_ratio,is_zero
numeric_scale__asof_batter_success_rate,asof_batter_success_rate,historical,scaled_numeric,,0.05998614430427551,0.05998614430427551,1.0618218183517456,False
categorical__game_type_F,game_type,context_static,one_hot,F,0.05050956830382347,0.05050956830382347,1.051806926727295,False
categorical__game_type_R,game_type,context_static,one_hot,R,-0.05040472000837326,0.05040472000837326,0.9508445858955383,False
numeric_scale__asof_pitcher_success_rate,asof_pitcher_success_rate,historical,scaled_numeric,,0.04761510342359543,0.04761510342359543,1.0487669706344604,False
numeric_scale__asof_pitcher_reverse_rate,asof_pitcher_reverse_rate,historical,scaled_numeric,,-0.046385157853364944,0.046385157853364944,0.9546741843223572,False
numeric_scale__asof_pitcher_prev5_game_success_rate,asof_pitcher_prev5_game_success_rate,historical,scaled_numeric,,0.0354856438934803,0.0354856438934803,1.0361227989196777,False
numeric_scale__asof_pitcher_prev3_game_success_rate,asof_pitcher_prev3_game_success_rate,historical,scaled_numeric,,0.03415931388735771,0.03415931388735771,1.0347493886947632,False
numeric_scale__asof_pitcher_prev1_game_success_rate,asof_pitcher_prev1_game_success_rate,historical,scaled_numeric,,0.030497467145323753,0.030497467145323753,1.0309672355651855,False
numeric_scale__asof_batter_n,asof_batter_n,historical,scaled_numeric,,-0.019352741539478302,0.019352741539478302,0.9808332920074463,False
numeric_no_scale__balls_before,balls_before,context_static,numeric_no_scale,,-0.015085256658494473,0.015085256658494473,0.9850279092788696,False
numeric_scale__asof_pitcher_ball_rate,asof_pitcher_ball_rate,historical,scaled_numeric,,-0.011192329227924347,0.011192329227924347,0.9888700842857361,False
numeric_scale__asof_pitcher_middle_rate,asof_pitcher_middle_rate,historical,scaled_numeric,,-0.009463082998991013,0.009463082998991013,0.9905815720558167,False
numeric_no_scale__inning,inning,context_static,numeric_no_scale,,-0.007231918163597584,0.007231918163597584,0.9927941560745239,False
numeric_scale__asof_pitcher_breaking_rate,asof_pitcher_breaking_rate,historical,scaled_numeric,,-0.005603019613772631,0.005603019613772631,0.9944126605987549,False
