transformed_feature,raw_feature,feature_group,transformed_type,category,coefficient,abs_coefficient,odds_ratio,is_zero
numeric_scale__asof_batter_success_rate,asof_batter_success_rate,historical,scaled_numeric,,0.05998614430427551,0.05998614430427551,1.0618218183517456,False
categorical__game_type_F,game_type,context_static,one_hot,F,0.05050956830382347,0.05050956830382347,1.051806926727295,False
categorical__game_type_R,game_type,context_static,one_hot,R,-0.05040472000837326,0.05040472000837326,0.9508445858955383,False
numeric_scale__asof_pitcher_success_rate,asof_pitcher_success_rate,historical,scaled_numeric,,0.04761510342359543,0.04761510342359543,1.0487669706344604,False
numeric_scale__asof_pitcher_reverse_rate,asof_pitcher_reverse_rate,historical,scaled_numeric,,-0.046385157853364944,0.046385157853364944,0.9546741843223572,False
numeric_scale__asof_pitcher_prev5_game_success_rate,asof_pitcher_prev5_game_success_rate,historical,scaled_numeric,,0.0354856438934803,0.0354856438934803,1.0361227989196777,False
numeric_scale__asof_pitcher_prev3_game_success_rate,asof_pitcher_prev3_game_success_rate,historical,scaled_numeric,,0.03415931388735771,0.03415931388735771,1.0347493886947632,False
numeric_scale__asof_pitcher_prev1_game_success_rate,asof_pitcher_prev1_game_success_rate,historical,scaled_numeric,,0.030497467145323753,0.030497467145323753,1.0309672355651855,False
numeric_scale__asof_batter_n,asof_batter_n,historical,scaled_numeric,,-0.019352741539478302,0.019352741539478302,0.9808332920074463,False
numeric_no_scale__balls_before,balls_before,context_static,numeric_no_scale,,-0.015085256658494473,0.015085256658494473,0.9850279092788696,False
numeric_scale__asof_pitcher_ball_rate,asof_pitcher_ball_rate,historical,scaled_numeric,,-0.011192329227924347,0.011192329227924347,0.9888700842857361,False
numeric_scale__asof_pitcher_middle_rate,asof_pitcher_middle_rate,historical,scaled_numeric,,-0.009463082998991013,0.009463082998991013,0.9905815720558167,False
numeric_no_scale__inning,inning,context_static,numeric_no_scale,,-0.007231918163597584,0.007231918163597584,0.9927941560745239,False
numeric_scale__asof_pitcher_breaking_rate,asof_pitcher_breaking_rate,historical,scaled_numeric,,-0.005603019613772631,0.005603019613772631,0.9944126605987549,False
numeric_scale__asof_pitcher_offspeed_rate,asof_pitcher_offspeed_rate,historical,scaled_numeric,,0.005427787080407143,0.005427787080407143,1.005442500114441,False
numeric_no_scale__strikes_before,strikes_before,context_static,numeric_no_scale,,-0.005216365214437246,0.005216365214437246,0.9947972297668457,False
numeric_scale__asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev3_game_middle_rate,historical,scaled_numeric,,0.004078271333128214,0.004078271333128214,1.0040866136550903,False
numeric_scale__asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev1_game_middle_rate,historical,scaled_numeric,,0.003700093599036336,0.003700093599036336,1.003706932067871,False
numeric_scale__li,li,context_static,scaled_numeric,,0.003652277635410428,0.003652277635410428,1.0036588907241821,False
numeric_no_scale__game_month,game_month,context_static,numeric_no_scale,,-0.0034241590183228254,0.0034241590183228254,0.9965817332267761,False
numeric_no_scale__outs_before,outs_before,context_static,numeric_no_scale,,0.0022163684479892254,0.0022163684479892254,1.0022188425064087,False
categorical__pitcher_team_id_18,pitcher_team_id,context_static,one_hot,18,0.0018634109292179346,0.0018634109292179346,1.0018651485443115,False
numeric_scale__score_diff_pitcher_team,score_diff_pitcher_team,context_static,scaled_numeric,,0.0014997420366853476,0.0014997420366853476,1.0015008449554443,False
numeric_scale__asof_pitcher_prev5_game_middle_rate,asof_pitcher_prev5_game_middle_rate,historical,scaled_numeric,,0.0013012734707444906,0.0013012734707444906,1.0013021230697632,False
numeric_scale__missingindicator_asof_batter_middle_rate,asof_batter_middle_rate,historical,missing_indicator,,0.000978460069745779,0.000978460069745779,1.000978946685791,False
numeric_scale__missingindicator_asof_batter_success_rate,asof_batter_success_rate,historical,missing_indicator,,0.000978460069745779,0.000978460069745779,1.000978946685791,False
numeric_scale__asof_batter_middle_rate,asof_batter_middle_rate,historical,scaled_numeric,,-0.0004977614153176546,0.0004977614153176546,0.9995023608207703,False
numeric_scale__missingindicator_asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev3_game_middle_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev5_game_middle_rate,asof_pitcher_prev5_game_middle_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev1_game_success_rate,asof_pitcher_prev1_game_success_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev3_game_success_rate,asof_pitcher_prev3_game_success_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev5_game_success_rate,asof_pitcher_prev5_game_success_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev1_game_middle_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__run_bot_before,run_bot_before,context_static,scaled_numeric,,-0.00025685864966362715,0.00025685864966362715,0.9997431635856628,False
numeric_no_scale__season,season,context_static,numeric_no_scale,,0.00012011009675916284,0.00012011009675916284,1.0001201629638672,False
numeric_scale__asof_pitcher_fastball_rate,asof_pitcher_fastball_rate,historical,scaled_numeric,,-7.161356188589707e-05,7.161356188589707e-05,0.99992835521698,False
