raw_feature,feature_group,transformed_terms,nonzero_terms,max_abs_coefficient,sum_abs_coefficient,nonzero_rate
asof_batter_success_rate,historical,2,2,0.05998614430427551,0.06096460437402129,1.0
game_type,context_static,2,2,0.05050956830382347,0.10091428831219673,1.0
asof_pitcher_success_rate,historical,2,1,0.04761510342359543,0.04761510342359543,0.5
asof_pitcher_reverse_rate,historical,2,1,0.046385157853364944,0.046385157853364944,0.5
asof_pitcher_prev5_game_success_rate,historical,2,2,0.0354856438934803,0.035882326745195314,1.0
asof_pitcher_prev3_game_success_rate,historical,2,2,0.03415931388735771,0.034555996739072725,1.0
asof_pitcher_prev1_game_success_rate,historical,2,2,0.030497467145323753,0.030894149997038767,1.0
asof_batter_n,historical,1,1,0.019352741539478302,0.019352741539478302,1.0
balls_before,context_static,1,1,0.015085256658494473,0.015085256658494473,1.0
asof_pitcher_ball_rate,historical,2,1,0.011192329227924347,0.011192329227924347,0.5
asof_pitcher_middle_rate,historical,2,1,0.009463082998991013,0.009463082998991013,0.5
inning,context_static,1,1,0.007231918163597584,0.007231918163597584,1.0
asof_pitcher_breaking_rate,historical,2,1,0.005603019613772631,0.005603019613772631,0.5
asof_pitcher_offspeed_rate,historical,2,1,0.005427787080407143,0.005427787080407143,0.5
strikes_before,context_static,1,1,0.005216365214437246,0.005216365214437246,1.0
asof_pitcher_prev3_game_middle_rate,historical,2,2,0.004078271333128214,0.004474954184843227,1.0
asof_pitcher_prev1_game_middle_rate,historical,2,2,0.003700093599036336,0.004096776450751349,1.0
li,context_static,1,1,0.003652277635410428,0.003652277635410428,1.0
game_month,context_static,1,1,0.0034241590183228254,0.0034241590183228254,1.0
outs_before,context_static,1,1,0.0022163684479892254,0.0022163684479892254,1.0
pitcher_team_id,context_static,12,1,0.0018634109292179346,0.0018634109292179346,0.08333333333333333
score_diff_pitcher_team,context_static,1,1,0.0014997420366853476,0.0014997420366853476,1.0
asof_pitcher_prev5_game_middle_rate,historical,2,2,0.0013012734707444906,0.001697956322459504,1.0
asof_batter_middle_rate,historical,2,2,0.000978460069745779,0.0014762214850634336,1.0
run_bot_before,context_static,1,1,0.00025685864966362715,0.00025685864966362715,1.0
season,context_static,1,1,0.00012011009675916284,0.00012011009675916284,1.0
asof_pitcher_fastball_rate,historical,2,1,7.161356188589707e-05,7.161356188589707e-05,0.5
asof_pitcher_n,historical,1,0,0.0,0.0,0.0
batter_team_id,context_static,12,0,0.0,0.0,0.0
batter_hand,context_static,2,0,0.0,0.0,0.0
game_dayofweek,context_static,7,0,0.0,0.0,0.0
base_state,context_static,8,0,0.0,0.0,0.0
away_win_expectancy,context_static,1,0,0.0,0.0,0.0
asof_pitcher_strike_rate,historical,2,0,0.0,0.0,0.0
batter_id,context_static,742,0,0.0,0.0,0.0
run_top_before,context_static,1,0,0.0,0.0,0.0
pitcher_hand,context_static,2,0,0.0,0.0,0.0
home_win_expectancy,context_static,1,0,0.0,0.0,0.0
runner_on_1b,context_static,1,0,0.0,0.0,0.0
score_diff_home,context_static,1,0,0.0,0.0,0.0
runner_on_3b,context_static,1,0,0.0,0.0,0.0
runner_on_2b,context_static,1,0,0.0,0.0,0.0
top_bottom,context_static,2,0,0.0,0.0,0.0
