transformed_feature,raw_feature,feature_group,transformed_type,category,coefficient,abs_coefficient,odds_ratio,is_zero
categorical__game_type_R,game_type,context_static,one_hot,R,-0.05040472000837326,0.05040472000837326,0.9508445858955383,False
numeric_scale__asof_pitcher_reverse_rate,asof_pitcher_reverse_rate,historical,scaled_numeric,,-0.046385157853364944,0.046385157853364944,0.9546741843223572,False
numeric_scale__asof_batter_n,asof_batter_n,historical,scaled_numeric,,-0.019352741539478302,0.019352741539478302,0.9808332920074463,False
numeric_no_scale__balls_before,balls_before,context_static,numeric_no_scale,,-0.015085256658494473,0.015085256658494473,0.9850279092788696,False
numeric_scale__asof_pitcher_ball_rate,asof_pitcher_ball_rate,historical,scaled_numeric,,-0.011192329227924347,0.011192329227924347,0.9888700842857361,False
numeric_scale__asof_pitcher_middle_rate,asof_pitcher_middle_rate,historical,scaled_numeric,,-0.009463082998991013,0.009463082998991013,0.9905815720558167,False
numeric_no_scale__inning,inning,context_static,numeric_no_scale,,-0.007231918163597584,0.007231918163597584,0.9927941560745239,False
numeric_scale__asof_pitcher_breaking_rate,asof_pitcher_breaking_rate,historical,scaled_numeric,,-0.005603019613772631,0.005603019613772631,0.9944126605987549,False
numeric_no_scale__strikes_before,strikes_before,context_static,numeric_no_scale,,-0.005216365214437246,0.005216365214437246,0.9947972297668457,False
numeric_no_scale__game_month,game_month,context_static,numeric_no_scale,,-0.0034241590183228254,0.0034241590183228254,0.9965817332267761,False
numeric_scale__asof_batter_middle_rate,asof_batter_middle_rate,historical,scaled_numeric,,-0.0004977614153176546,0.0004977614153176546,0.9995023608207703,False
numeric_scale__run_bot_before,run_bot_before,context_static,scaled_numeric,,-0.00025685864966362715,0.00025685864966362715,0.9997431635856628,False
numeric_scale__asof_pitcher_fastball_rate,asof_pitcher_fastball_rate,historical,scaled_numeric,,-7.161356188589707e-05,7.161356188589707e-05,0.99992835521698,False
