transformed_feature,raw_feature,feature_group,transformed_type,category,coefficient,abs_coefficient,odds_ratio,is_zero
numeric_scale__asof_batter_success_rate,asof_batter_success_rate,historical,scaled_numeric,,0.05998614430427551,0.05998614430427551,1.0618218183517456,False
categorical__game_type_F,game_type,context_static,one_hot,F,0.05050956830382347,0.05050956830382347,1.051806926727295,False
numeric_scale__asof_pitcher_success_rate,asof_pitcher_success_rate,historical,scaled_numeric,,0.04761510342359543,0.04761510342359543,1.0487669706344604,False
numeric_scale__asof_pitcher_prev5_game_success_rate,asof_pitcher_prev5_game_success_rate,historical,scaled_numeric,,0.0354856438934803,0.0354856438934803,1.0361227989196777,False
numeric_scale__asof_pitcher_prev3_game_success_rate,asof_pitcher_prev3_game_success_rate,historical,scaled_numeric,,0.03415931388735771,0.03415931388735771,1.0347493886947632,False
numeric_scale__asof_pitcher_prev1_game_success_rate,asof_pitcher_prev1_game_success_rate,historical,scaled_numeric,,0.030497467145323753,0.030497467145323753,1.0309672355651855,False
numeric_scale__asof_pitcher_offspeed_rate,asof_pitcher_offspeed_rate,historical,scaled_numeric,,0.005427787080407143,0.005427787080407143,1.005442500114441,False
numeric_scale__asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev3_game_middle_rate,historical,scaled_numeric,,0.004078271333128214,0.004078271333128214,1.0040866136550903,False
numeric_scale__asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev1_game_middle_rate,historical,scaled_numeric,,0.003700093599036336,0.003700093599036336,1.003706932067871,False
numeric_scale__li,li,context_static,scaled_numeric,,0.003652277635410428,0.003652277635410428,1.0036588907241821,False
numeric_no_scale__outs_before,outs_before,context_static,numeric_no_scale,,0.0022163684479892254,0.0022163684479892254,1.0022188425064087,False
categorical__pitcher_team_id_18,pitcher_team_id,context_static,one_hot,18,0.0018634109292179346,0.0018634109292179346,1.0018651485443115,False
numeric_scale__score_diff_pitcher_team,score_diff_pitcher_team,context_static,scaled_numeric,,0.0014997420366853476,0.0014997420366853476,1.0015008449554443,False
numeric_scale__asof_pitcher_prev5_game_middle_rate,asof_pitcher_prev5_game_middle_rate,historical,scaled_numeric,,0.0013012734707444906,0.0013012734707444906,1.0013021230697632,False
numeric_scale__missingindicator_asof_batter_middle_rate,asof_batter_middle_rate,historical,missing_indicator,,0.000978460069745779,0.000978460069745779,1.000978946685791,False
numeric_scale__missingindicator_asof_batter_success_rate,asof_batter_success_rate,historical,missing_indicator,,0.000978460069745779,0.000978460069745779,1.000978946685791,False
numeric_scale__missingindicator_asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev3_game_middle_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev5_game_middle_rate,asof_pitcher_prev5_game_middle_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev1_game_success_rate,asof_pitcher_prev1_game_success_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
numeric_scale__missingindicator_asof_pitcher_prev3_game_success_rate,asof_pitcher_prev3_game_success_rate,historical,missing_indicator,,0.0003966828517150134,0.0003966828517150134,1.000396728515625,False
